Epoch,Test Loss,Accuracy,Num Dendrites,Num Somas,Total Parameters,Regularized,Model Type,RF Type
0,0.7735494013074078,0.7274,128,64,109386,False,dendritic,global
0,0.6503519683699065,0.7606,256,64,218058,False,dendritic,global
0,0.99132974540131,0.617,128,16,102714,False,dendritic,global
1,0.6346791533729698,0.7696,128,64,109386,False,dendritic,global
1,0.5471974486791635,0.8009,256,64,218058,False,dendritic,global
1,0.8659317478348937,0.6623,128,16,102714,False,dendritic,global
2,0.507996613466287,0.8149,256,64,218058,False,dendritic,global
2,0.5830217713042151,0.7887,128,64,109386,False,dendritic,global
2,0.8222019747842716,0.6853,128,16,102714,False,dendritic,global
3,0.4837151567769956,0.8262,256,64,218058,False,dendritic,global
3,0.5543790957595729,0.8015,128,64,109386,False,dendritic,global
3,0.7994855200942559,0.691,128,16,102714,False,dendritic,global
4,0.4622993829506862,0.8324,256,64,218058,False,dendritic,global
4,0.5370807376088975,0.8058,128,64,109386,False,dendritic,global
4,0.7847146595580669,0.6933,128,16,102714,False,dendritic,global
5,0.520326360117031,0.8126,128,64,109386,False,dendritic,global
5,0.770184723636772,0.7015,128,16,102714,False,dendritic,global
5,0.4508651711895496,0.8367,256,64,218058,False,dendritic,global
6,0.7591949150532107,0.7082,128,16,102714,False,dendritic,global
6,0.5084022709840461,0.8172,128,64,109386,False,dendritic,global
6,0.44014816533161116,0.8424,256,64,218058,False,dendritic,global
7,0.7517304594003702,0.7102,128,16,102714,False,dendritic,global
7,0.5002435132672515,0.8228,128,64,109386,False,dendritic,global
7,0.43415139294877836,0.8429,256,64,218058,False,dendritic,global
8,0.7435430544841138,0.7161,128,16,102714,False,dendritic,global
8,0.4924554187285749,0.8239,128,64,109386,False,dendritic,global
8,0.42998901386804217,0.8451,256,64,218058,False,dendritic,global
9,0.7348989614203006,0.7171,128,16,102714,False,dendritic,global
9,0.48626503348350525,0.8274,128,64,109386,False,dendritic,global
9,0.42478809967825687,0.8509,256,64,218058,False,dendritic,global
10,0.7295795943163619,0.7181,128,16,102714,False,dendritic,global
10,0.48133029439781283,0.8294,128,64,109386,False,dendritic,global
10,0.42209737964823274,0.8497,256,64,218058,False,dendritic,global
11,0.7275723679156243,0.7198,128,16,102714,False,dendritic,global
11,0.47826765232448337,0.8302,128,64,109386,False,dendritic,global
11,0.4194248944898195,0.8465,256,64,218058,False,dendritic,global
12,0.7230900642992575,0.7253,128,16,102714,False,dendritic,global
12,0.47809865089911446,0.828,128,64,109386,False,dendritic,global
12,0.4143570552143869,0.8513,256,64,218058,False,dendritic,global
13,0.7201598916627183,0.7256,128,16,102714,False,dendritic,global
13,0.46846295270738725,0.833,128,64,109386,False,dendritic,global
13,0.4153365583359441,0.85,256,64,218058,False,dendritic,global
14,0.7228885179833521,0.7256,128,16,102714,False,dendritic,global
14,0.46892494906353044,0.8333,128,64,109386,False,dendritic,global
14,0.4127300796629507,0.8538,256,64,218058,False,dendritic,global
15,0.46567125033728685,0.8324,128,64,109386,False,dendritic,global
15,0.7150681999665273,0.7286,128,16,102714,False,dendritic,global
15,0.4102149828325344,0.8519,256,64,218058,False,dendritic,global
16,0.4650253811969033,0.8332,128,64,109386,False,dendritic,global
16,0.7167983541760263,0.7277,128,16,102714,False,dendritic,global
16,0.40686211895339097,0.8537,256,64,218058,False,dendritic,global
17,0.7113147909882702,0.7302,128,16,102714,False,dendritic,global
17,0.46324366896967345,0.8348,128,64,109386,False,dendritic,global
17,0.40563803948933563,0.8548,256,64,218058,False,dendritic,global
18,0.7136907362485234,0.7311,128,16,102714,False,dendritic,global
18,0.46057865438582024,0.8369,128,64,109386,False,dendritic,global
18,0.40277644690079023,0.8528,256,64,218058,False,dendritic,global
19,0.7100042568731911,0.7324,128,16,102714,False,dendritic,global
19,0.40226051060459284,0.854,256,64,218058,False,dendritic,global
19,0.458324216589143,0.8354,128,64,109386,False,dendritic,global
0,0.8684444336951533,0.696,128,16,102714,False,dendritic,local
0,0.6863789071765127,0.7582,256,64,218058,False,dendritic,local
0,0.7917064798029163,0.7077,128,64,109386,False,dendritic,local
1,0.7056567536879189,0.7474,128,16,102714,False,dendritic,local
1,0.5770292112344428,0.7958,256,64,218058,False,dendritic,local
1,0.6630352290370797,0.7587,128,64,109386,False,dendritic,local
2,0.650639808253397,0.7705,128,16,102714,False,dendritic,local
2,0.5362281682370584,0.8119,256,64,218058,False,dendritic,local
2,0.6163008771365202,0.7723,128,64,109386,False,dendritic,local
3,0.6221014864837067,0.7813,128,16,102714,False,dendritic,local
3,0.5110228827482537,0.8159,256,64,218058,False,dendritic,local
3,0.5845510095735139,0.7841,128,64,109386,False,dendritic,local
4,0.6046244373804406,0.7859,128,16,102714,False,dendritic,local
4,0.49022987249154076,0.8255,256,64,218058,False,dendritic,local
4,0.5646480484099328,0.7916,128,64,109386,False,dendritic,local
5,0.5893218396585199,0.7964,128,16,102714,False,dendritic,local
5,0.48143538059313085,0.826,256,64,218058,False,dendritic,local
5,0.5523361707035499,0.7964,128,64,109386,False,dendritic,local
6,0.5806310765350922,0.7977,128,16,102714,False,dendritic,local
6,0.474016504197181,0.8245,256,64,218058,False,dendritic,local
6,0.538180642112901,0.8028,128,64,109386,False,dendritic,local
7,0.5736506656755375,0.7989,128,16,102714,False,dendritic,local
7,0.46752586687290215,0.8306,256,64,218058,False,dendritic,local
7,0.5267207667797427,0.8052,128,64,109386,False,dendritic,local
8,0.5671781033654756,0.8043,128,16,102714,False,dendritic,local
8,0.45663152550217473,0.8352,256,64,218058,False,dendritic,local
8,0.5194448474087293,0.8107,128,64,109386,False,dendritic,local
9,0.5616768296760849,0.8042,128,16,102714,False,dendritic,local
9,0.453743228806725,0.8387,256,64,218058,False,dendritic,local
9,0.5116398889052717,0.8132,128,64,109386,False,dendritic,local
10,0.5586839635160905,0.8078,128,16,102714,False,dendritic,local
10,0.44878998926923247,0.8399,256,64,218058,False,dendritic,local
10,0.5082464561432223,0.8141,128,64,109386,False,dendritic,local
11,0.5535949974120418,0.8104,128,16,102714,False,dendritic,local
11,0.44858770411980303,0.8382,256,64,218058,False,dendritic,local
11,0.5043021357512172,0.8174,128,64,109386,False,dendritic,local
12,0.5541832024538065,0.8046,128,16,102714,False,dendritic,local
12,0.44367459557856187,0.8396,256,64,218058,False,dendritic,local
12,0.4976949046684217,0.8199,128,64,109386,False,dendritic,local
13,0.5458296624165547,0.8111,128,16,102714,False,dendritic,local
13,0.4398269634458083,0.8423,256,64,218058,False,dendritic,local
13,0.49300939485996587,0.8212,128,64,109386,False,dendritic,local
14,0.5419362530678133,0.8144,128,16,102714,False,dendritic,local
14,0.43588078088020976,0.8431,256,64,218058,False,dendritic,local
14,0.4895812665359883,0.8211,128,64,109386,False,dendritic,local
15,0.5415975560870352,0.8162,128,16,102714,False,dendritic,local
15,0.4370584067287324,0.8437,256,64,218058,False,dendritic,local
15,0.48822474970093255,0.8213,128,64,109386,False,dendritic,local
16,0.5389786777617056,0.8138,128,16,102714,False,dendritic,local
16,0.4868184482749504,0.8225,128,64,109386,False,dendritic,local
16,0.43393190827550765,0.8425,256,64,218058,False,dendritic,local
17,0.542176588803907,0.8108,128,16,102714,False,dendritic,local
17,0.486055604264706,0.823,128,64,109386,False,dendritic,local
17,0.4308510877286332,0.8462,256,64,218058,False,dendritic,local
18,0.535859915274608,0.8147,128,16,102714,False,dendritic,local
18,0.47987694944007486,0.8267,128,64,109386,False,dendritic,local
18,0.43124118107783643,0.8428,256,64,218058,False,dendritic,local
19,0.5357094252411323,0.8159,128,16,102714,False,dendritic,local
19,0.4792935014525546,0.8258,128,64,109386,False,dendritic,local
19,0.4266847520123554,0.8452,256,64,218058,False,dendritic,local
0,0.7235958538477933,0.7412,128,16,102714,False,dendritic,random
0,0.7194752097129822,0.7406,128,64,109386,False,dendritic,random
0,0.6408043567892872,0.7677,256,64,218058,False,dendritic,random
1,0.5878917582427399,0.7903,128,16,102714,False,dendritic,random
1,0.6143919791601882,0.7737,128,64,109386,False,dendritic,random
1,0.5360994014558913,0.8053,256,64,218058,False,dendritic,random
2,0.5494579291796382,0.8056,128,16,102714,False,dendritic,random
2,0.573427367436735,0.7885,128,64,109386,False,dendritic,random
2,0.4973384802100025,0.8218,256,64,218058,False,dendritic,random
3,0.5320790387407134,0.8131,128,16,102714,False,dendritic,random
3,0.5494159792042985,0.7973,128,64,109386,False,dendritic,random
3,0.47462275812897503,0.828,256,64,218058,False,dendritic,random
4,0.5176184275482274,0.8151,128,16,102714,False,dendritic,random
4,0.5310532114928281,0.8054,128,64,109386,False,dendritic,random
4,0.45819514423986024,0.8326,256,64,218058,False,dendritic,random
5,0.508395343264447,0.8203,128,16,102714,False,dendritic,random
5,0.5164570544339433,0.8117,128,64,109386,False,dendritic,random
5,0.4465658434584171,0.8388,256,64,218058,False,dendritic,random
6,0.4983587978006918,0.8241,128,16,102714,False,dendritic,random
6,0.504825593549994,0.8166,128,64,109386,False,dendritic,random
6,0.437836764356758,0.8411,256,64,218058,False,dendritic,random
7,0.49325316389904744,0.8255,128,16,102714,False,dendritic,random
7,0.4967213039156757,0.8213,128,64,109386,False,dendritic,random
7,0.433641634598563,0.8423,256,64,218058,False,dendritic,random
8,0.4915005655228337,0.8265,128,16,102714,False,dendritic,random
8,0.48975780870341046,0.822,128,64,109386,False,dendritic,random
8,0.42803763890568214,0.8471,256,64,218058,False,dendritic,random
9,0.48556447783602946,0.8312,128,16,102714,False,dendritic,random
9,0.4855530880674531,0.8245,128,64,109386,False,dendritic,random
9,0.4197000768742984,0.8491,256,64,218058,False,dendritic,random
10,0.48103971270066276,0.8312,128,16,102714,False,dendritic,random
10,0.4779572916936271,0.8284,128,64,109386,False,dendritic,random
10,0.4165227786649632,0.8486,256,64,218058,False,dendritic,random
11,0.4843952071063126,0.8313,128,16,102714,False,dendritic,random
11,0.47467836963979504,0.8294,128,64,109386,False,dendritic,random
11,0.4114838770673245,0.8537,256,64,218058,False,dendritic,random
12,0.47463324062431916,0.8325,128,16,102714,False,dendritic,random
12,0.4729795795452746,0.8297,128,64,109386,False,dendritic,random
12,0.4073022564377966,0.8525,256,64,218058,False,dendritic,random
13,0.47358403175692015,0.8329,128,16,102714,False,dendritic,random
13,0.4678411472447311,0.8307,128,64,109386,False,dendritic,random
13,0.40624032461945014,0.8534,256,64,218058,False,dendritic,random
14,0.47012322047088717,0.8325,128,16,102714,False,dendritic,random
14,0.46857966803297213,0.8313,128,64,109386,False,dendritic,random
14,0.40567340956458564,0.8545,256,64,218058,False,dendritic,random
15,0.4742586491983148,0.8318,128,16,102714,False,dendritic,random
15,0.4604806024816972,0.8356,128,64,109386,False,dendritic,random
15,0.4018064937259577,0.8572,256,64,218058,False,dendritic,random
16,0.4683232805396937,0.8343,128,16,102714,False,dendritic,random
16,0.4605712034279787,0.8351,128,64,109386,False,dendritic,random
16,0.4037186859906474,0.8552,256,64,218058,False,dendritic,random
17,0.46801154183436044,0.8358,128,16,102714,False,dendritic,random
17,0.45796406552006924,0.8359,128,64,109386,False,dendritic,random
17,0.39929311298116854,0.8564,256,64,218058,False,dendritic,random
18,0.46534034609794617,0.8356,128,16,102714,False,dendritic,random
18,0.4552996754646301,0.8348,128,64,109386,False,dendritic,random
18,0.39856191488760934,0.8567,256,64,218058,False,dendritic,random
19,0.46415752700612517,0.8352,128,16,102714,False,dendritic,random
19,0.4531413216756869,0.8398,128,64,109386,False,dendritic,random
19,0.40097303858286215,0.8545,256,64,218058,False,dendritic,random
0,0.4424715724926961,0.8392,128,16,102714,False,vanilla,None
0,0.4197282304492178,0.8479,128,64,109386,False,vanilla,None
0,0.3931058118992214,0.8548,256,64,218058,False,vanilla,None
1,0.4233583938094634,0.8462,128,16,102714,False,vanilla,None
1,0.38101637797265114,0.8628,128,64,109386,False,vanilla,None
1,0.3680978813503362,0.8681,256,64,218058,False,vanilla,None
2,0.393585739633705,0.8549,128,16,102714,False,vanilla,None
